Fecha,TempMedia,TempMax,HorMinTempMax,TempMin,HorMinTempMin,HumedadMedia,HumedadMax,HorMinHumMax,HumedadMin,HorMinHumMin,VelViento,DirViento,VelVientoMax,HorMinVelMax,DirVientoVelMax,Radiacion,Precipitacion,TempSuelo1,TempSuelo2,EtPMon,PePMon,Estacion
2004-04-05,13.404,21.27,1300.0,5.879,2400.0,68.62,94.6,2300.0,28.93,1400,1.332,250.191,3.833,1530.0,230.3,20.4,0.0,,,3.425718,0.0,IB06
2004-04-06,12.59,22.42,1110.0,3.074,530.0,75.0,96.8,540.0,32.02,1030,1.054,165.5,4.871,1404.0,88.1,23.27,0.0,,,3.5029923915863037,0.0,IB06
2004-04-07,11.91,18.05,1150.0,5.126,530.0,79.7,97.5,510.0,53.72,1040,1.431,52.23,6.909,1155.0,24.2,16.14,0.0,,,2.5443198680877686,0.0,IB06
2004-04-08,12.84,16.73,1220.0,8.98,250.0,71.6,93.6,500.0,41.88,1410,1.466,69.71,5.782,1401.0,103.8,15.87,0.0,,,2.6978368759155273,0.0,IB06
2004-04-09,9.5,12.76,1540.0,2.207,0.0,79.1,95.5,2350.0,50.22,1520,2.225,22.32,7.23,1323.0,46.16,8.49,7.2,,,1.884609341621399,3.568859577178955,IB06
2004-04-10,7.74,14.36,900.0,1.014,240.0,83.6,97.2,320.0,55.5,850,1.247,28.47,6.047,2340.0,82.5,11.31,8.6,,,1.8366730213165283,4.611732482910156,IB06
2004-04-11,11.62,13.16,1020.0,9.97,340.0,59.96,71.2,150.0,51.16,910,3.453,22.42,9.99,1059.0,43.51,12.38,0.0,,,2.856935977935791,0.0,IB06
2004-04-12,10.09,17.93,950.0,2.207,2320.0,74.6,95.9,2340.0,41.15,950,1.042,304.6,5.566,1241.0,40.57,13.17,0.2,,,2.311476707458496,0.0,IB06
2004-04-13,8.27,18.18,1110.0,-0.052,450.0,80.7,97.6,540.0,36.01,1100,0.72,60.11,5.233,1250.0,92.4,17.05,1.2,,,2.459918737411499,0.0,IB06
2004-04-14,10.26,17.79,1110.0,-0.047,510.0,76.7,97.8,540.0,45.4,1240,1.052,101.0,5.037,1143.0,53.03,18.29,0.0,,,2.6840102672576904,0.0,IB06
